iter	Passed	Remaining
611	15792	35816
612	15816	35787
613	15841	35759
614	15867	35733
615	15893	35707
616	15917	35679
617	15942	35651
618	15967	35624
619	15992	35595
620	16017	35567
621	16057	35573
622	16083	35549
623	16109	35523
624	16134	35495
625	16159	35467
626	16188	35448
627	16214	35423
628	16240	35398
629	16265	35371
630	16295	35354
631	16320	35327
632	16346	35300
633	16372	35276
634	16397	35248
635	16422	35221
636	16450	35200
637	16476	35173
638	16500	35145
639	16527	35121
640	16552	35092
641	16577	35065
642	16605	35045
643	16631	35020
644	16657	34993
645	16682	34965
646	16708	34939
647	16732	34910
648	16757	34882
649	16782	34854
650	16809	34833
651	16835	34806
652	16863	34784
653	16888	34758
654	16913	34731
655	16939	34705
656	16964	34677
657	16992	34655
658	17017	34628
659	17053	34624
660	17083	34606
661	17110	34581
662	17135	34555
663	17160	34526
664	17186	34502
665	17214	34481
666	17242	34458
667	17271	34439
668	17297	34413
669	17323	34387
670	17347	34359
671	17373	34334
672	17400	34308
673	17430	34291
674	17455	34265
675	17481	34238
676	17506	34210
677	17531	34183
678	17559	34161
679	17583	34133
680	17608	34106
681	17633	34078
682	17659	34051
683	17683	34023
684	17710	33998
685	17734	33970
686	17759	33942
687	17785	33917
688	17810	33888
689	17837	33864
690	17863	33839
691	17889	33815
692	17915	33788
693	17940	33762
694	17965	33734
695	17991	33707
696	18016	33680
697	18041	33652
698	18080	33652
699	18106	33626
700	18132	33600
701	18157	33573
702	18182	33546
703	18207	33518
704	18232	33490
705	18257	33463
706	18282	33435
707	18306	33407
708	18331	33379
709	18357	33353
710	18381	33325
711	18410	33303
712	18438	33283
713	18466	33260
714	18491	33233
715	18516	33206
716	18542	33179
717	18566	33151
718	18591	33123
719	18616	33095
720	18641	33067
721	18665	33039
722	18693	33017
723	18718	32989
724	18743	32962
725	18768	32935
726	18793	32907
727	18818	32879
728	18846	32858
729	18871	32831
730	18897	32805
731	18922	32778
732	18947	32750
733	18972	32723
734	18997	32696
735	19022	32668
736	19048	32643
737	19089	32643
738	19115	32617
739	19139	32589
740	19164	32561
741	19189	32533
742	19214	32506
743	19245	32489
744	19270	32462
745	19295	32435
746	19323	32412
747	19349	32386
748	19374	32359
749	19399	32332
750	19424	32304
751	19450	32279
752	19475	32251
753	19499	32223
754	19524	32196
755	19548	32167
756	19573	32139
757	19598	32112
758	19623	32085
759	19650	32061
760	19675	32034
761	19700	32006
762	19725	31979
763	19750	31951
764	19774	31923
765	19799	31896
766	19824	31869
767	19852	31846
768	19877	31818
769	19902	31792
770	19927	31764
771	19951	31736
772	19976	31709
773	20001	31682
774	20028	31657
775	20053	31630
776	20089	31621
777	20120	31603
778	20149	31582
779	20177	31559
780	20204	31535
781	20235	31517
782	20263	31494
783	20289	31469
784	20316	31445
785	20341	31418
786	20371	31398
787	20398	31373
788	20424	31348
789	20449	31321
790	20475	31295
791	20500	31268
792	20526	31242
793	20550	31213
794	20574	31185
795	20599	31157
796	20629	31138
797	20654	31111
798	20680	31084
799	20712	31068
800	20738	31042
801	20763	31015
802	20787	30987
803	20812	30959
804	20836	30931
805	20861	30904
806	20886	30877
807	20912	30850
808	20938	30825
809	20963	30798
810	20988	30770
811	21012	30742
812	21037	30715
813	21063	30689
814	21088	30661
815	21147	30684
816	21172	30657
817	21197	30630
818	21222	30603
819	21247	30575
820	21272	30547
821	21296	30519
822	21321	30492
823	21349	30469
824	21375	30443
825	21400	30417
826	21429	30394
827	21454	30367
828	21480	30342
829	21506	30315
830	21531	30289
831	21560	30268
832	21587	30242
833	21612	30216
834	21641	30194
835	21666	30167
836	21691	30140
837	21717	30113
838	21742	30087
839	21768	30061
840	21795	30036
841	21819	30008
842	21848	29986
843	21874	29960
844	21899	29934
845	21925	29908
846	21952	29882
847	21976	29855
848	22002	29829
849	22027	29802
850	22055	29778
851	22080	29751
852	22106	29726
853	22147	29719
854	22174	29695
855	22199	29668
856	22225	29642
857	22249	29613
858	22273	29586
859	22301	29562
860	22327	29536
861	22354	29511
862	22379	29484
863	22404	29457
864	22429	29431
865	22455	29404
866	22479	29376
867	22510	29356
868	22535	29330
869	22561	29303
870	22586	29276
871	22612	29251
872	22639	29226
873	22665	29200
874	22689	29172
875	22714	29144
876	22739	29118
877	22767	29094
878	22792	29068
879	22819	29042
880	22848	29021
881	22874	28995
882	22900	28969
883	22926	28943
884	22952	28917
885	22977	28890
886	23003	28864
887	23030	28840
888	23057	28815
889	23082	28787
890	23107	28761
891	23132	28733
892	23175	28729
893	23201	28703
894	23231	28681
895	23257	28656
896	23283	28631
897	23310	28606
898	23338	28582
899	23365	28557
900	23391	28531
901	23417	28506
902	23443	28479
903	23471	28456
904	23495	28428
905	23521	28402
906	23546	28374
907	23572	28348
908	23598	28322
909	23622	28295
910	23647	28267
911	23671	28239
912	23699	28215
913	23723	28188
914	23748	28160
915	23772	28133
916	23797	28105
917	23823	28079
918	23848	28052
919	23873	28025
920	23897	27997
921	23922	27970
922	23948	27943
923	23973	27916
924	23999	27891
925	24027	27868
926	24053	27841
927	24077	27813
928	24104	27789
929	24129	27762
930	24154	27734
931	24197	27728
932	24222	27701
933	24247	27674
934	24274	27649
935	24303	27626
936	24333	27605
937	24358	27578
938	24382	27550
939	24414	27531
940	24441	27506
941	24465	27478
942	24490	27451
943	24516	27424
944	24540	27396
945	24564	27369
946	24589	27341
947	24617	27317
948	24641	27290
949	24666	27262
950	24691	27235
951	24715	27208
952	24741	27181
953	24765	27154
954	24791	27127
955	24815	27100
956	24841	27073
957	24865	27046
958	24893	27021
959	24918	26994
960	24943	26967
961	24967	26940
962	24993	26913
963	25018	26887
964	25043	26860
965	25068	26832
966	25093	26806
967	25117	26778
968	25145	26753
969	25170	26727
970	25214	26720
971	25239	26693
972	25264	26666
973	25293	26644
974	25318	26617
975	25344	26590
976	25369	26563
977	25393	26535
978	25419	26509
979	25444	26482
980	25469	26456
981	25494	26429
982	25519	26402
983	25544	26375
984	25568	26347
985	25593	26320
986	25618	26293
987	25643	26266
988	25671	26242
989	25696	26216
990	25721	26189
991	25746	26161
992	25771	26134
993	25796	26107
994	25821	26080
995	25847	26055
996	25872	26028
997	25896	26000
998	25921	25973
999	25946	25946
1000	25970	25918
1001	25995	25891
1002	26020	25864
1003	26045	25837
1004	26070	25810
1005	26096	25785
1006	26121	25758
1007	26145	25730
1008	26170	25703
1009	26210	25691
1010	26239	25668
1011	26264	25642
1012	26290	25615
1013	26315	25589
1014	26342	25563
1015	26367	25536
1016	26392	25510
1017	26419	25485
1018	26445	25459
1019	26472	25434
1020	26500	25410
1021	26528	25385
1022	26556	25362
1023	26583	25337
1024	26610	25312
1025	26636	25286
1026	26661	25259
1027	26686	25233
1028	26711	25206
1029	26738	25180
1030	26765	25155
1031	26790	25129
1032	26815	25102
1033	26843	25078
1034	26872	25054
1035	26898	25029
1036	26925	25004
1037	26950	24976
1038	26974	24949
1039	26999	24922
1040	27024	24895
1041	27054	24873
1042	27079	24846
1043	27103	24819
1044	27129	24792
1045	27154	24766
1046	27179	24739
1047	27204	24712
1048	27250	24704
1049	27275	24678
1050	27300	24650
1051	27326	24624
1052	27352	24598
1053	27377	24572
1054	27402	24545
1055	27426	24518
1056	27451	24491
1057	27477	24464
1058	27501	24437
1059	27529	24412
1060	27554	24385
1061	27579	24359
1062	27606	24333
1063	27633	24309
1064	27661	24285
1065	27690	24261
1066	27716	24235
1067	27742	24209
1068	27769	24184
1069	27794	24157
1070	27819	24130
1071	27845	24104
1072	27870	24078
1073	27897	24052
1074	27922	24026
1075	27948	24000
1076	27973	23973
1077	27998	23947
1078	28025	23921
1079	28050	23894
1080	28075	23867
1081	28100	23841
1082	28124	23813
1083	28149	23786
